,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,MIN,ORB,PF,PTS,REB,STL,TOV
0,0.38,4.7,1.8,3.7,1.0,6.4,0.486,19.0,9.2,0.881,8.1,7.1,37.6,0.8,1.9,27.3,7.1,1.2,3.2
1,0.341,4.0,1.4,6.9,0.8,6.0,0.499,19.7,9.8,0.742,8.3,6.2,38.9,1.2,1.9,27.2,7.2,1.7,3.4
2,0.345,3.4,1.2,3.2,0.5,4.8,0.452,19.6,8.8,0.813,7.4,6.0,36.2,1.8,2.9,24.8,6.6,1.1,2.8
3,0.288,1.6,0.5,5.7,0.9,3.5,0.486,17.5,8.5,0.768,7.8,6.0,35.5,1.3,2.3,23.5,4.8,1.6,3.3
4,0.44,7.4,3.3,6.8,0.2,3.6,0.476,16.6,7.9,0.904,3.8,3.5,34.8,0.7,2.5,22.6,4.3,1.8,3.2
5,0.307,3.1,0.9,7.8,0.3,4.2,0.434,17.7,7.7,0.818,7.0,5.7,34.1,1.7,2.4,22.1,5.9,1.7,3.8
6,0.381,3.3,1.3,2.5,0.9,6.8,0.473,16.3,7.7,0.879,5.9,5.2,35.2,1.1,2.4,21.9,7.8,0.8,1.8
7,0.368,7.0,2.6,6.2,0.3,3.4,0.429,17.1,7.3,0.873,5.3,4.6,36.4,0.5,2.2,21.9,3.9,0.9,2.8
8,0.288,0.7,0.2,1.7,2.4,7.4,0.513,16.2,8.3,0.783,6.4,5.0,34.3,2.6,2.5,21.8,10.0,1.3,1.7
9,0.366,5.9,2.2,5.4,0.4,4.1,0.443,14.4,6.4,0.854,7.8,6.7,33.5,0.8,2.5,21.6,4.8,1.5,3.2
10,0.266,0.4,0.1,4.1,0.6,7.0,0.519,16.1,8.3,0.666,7.0,4.7,35.2,2.5,3.0,21.4,9.5,1.0,2.5
11,0.382,4.8,1.8,5.5,0.3,2.7,0.454,16.9,7.7,0.868,4.5,3.9,34.1,0.8,2.1,21.1,3.4,1.3,2.7
12,0.327,1.0,0.3,2.8,1.2,7.8,0.46,16.4,7.5,0.733,7.4,5.4,31.8,3.0,3.9,20.8,10.7,1.4,3.4
13,0.369,4.4,1.6,3.5,0.6,4.8,0.445,14.6,6.5,0.807,6.4,5.2,34.4,0.8,2.7,19.8,5.6,1.3,2.6
14,0.3,2.7,0.8,6.1,0.4,2.8,0.448,16.9,7.6,0.816,4.3,3.5,34.8,0.9,1.4,19.5,3.7,0.8,2.9
15,0.325,1.9,0.6,2.3,1.6,7.8,0.52,15.1,7.8,0.811,3.8,3.1,33.2,3.0,3.0,19.4,10.8,0.7,2.4
16,0.317,2.2,0.7,2.1,0.5,2.7,0.447,15.5,6.9,0.754,6.4,4.8,35.9,1.4,2.2,19.4,4.1,1.0,2.2
17,0.335,1.0,0.3,2.0,1.0,6.3,0.494,14.1,7.0,0.799,6.3,5.0,35.8,2.2,2.4,19.2,8.5,0.8,2.0
18,0.28,0.3,0.1,1.9,1.0,5.7,0.488,16.0,7.8,0.803,4.3,3.5,34.8,2.6,2.5,19.2,8.4,0.8,1.6
19,0.28,1.4,0.4,2.7,0.3,3.3,0.445,15.0,6.7,0.827,6.1,5.0,34.0,0.8,2.3,18.8,4.0,1.0,1.9
20,0.367,3.2,1.2,9.9,0.1,3.7,0.473,13.9,6.6,0.864,5.1,4.4,35.7,0.7,2.5,18.7,4.4,2.3,2.4
21,0.416,6.6,2.8,2.3,0.5,2.9,0.452,15.4,7.0,0.854,2.4,2.0,32.6,0.4,2.3,18.7,3.3,0.9,1.8
22,0.372,4.1,1.5,3.4,0.6,3.4,0.438,15.3,6.7,0.799,4.5,3.6,32.2,1.2,2.7,18.5,4.6,1.1,1.9
23,0.366,4.1,1.5,2.4,0.5,8.4,0.444,13.8,6.1,0.819,5.8,4.7,32.7,3.1,2.1,18.5,11.5,0.7,2.0
24,0.319,2.6,0.8,9.1,0.6,3.9,0.433,15.5,6.7,0.792,5.3,4.2,36.0,0.6,2.3,18.4,4.5,1.7,3.8
25,0.324,0.4,0.1,1.5,1.7,4.5,0.508,14.1,7.2,0.795,5.0,4.0,32.4,2.7,2.8,18.4,7.2,0.6,2.0
26,0.343,3.0,1.0,2.3,0.8,4.4,0.452,15.4,7.0,0.795,4.3,3.4,35.6,1.5,2.5,18.4,5.9,1.3,2.4
27,0.313,2.9,0.9,4.7,0.3,2.9,0.451,15.7,7.1,0.776,4.3,3.3,35.3,0.6,2.4,18.4,3.5,1.7,2.8
28,0.322,0.3,0.1,3.3,1.7,6.8,0.51,13.5,6.9,0.754,5.5,4.1,35.0,2.6,2.2,18.0,9.5,0.5,2.3
29,0.345,4.7,1.6,5.4,0.4,3.3,0.41,15.3,6.3,0.823,4.5,3.7,33.7,0.6,1.5,17.9,3.9,1.4,2.1
30,0.093,0.1,0.0,1.5,2.0,9.1,0.583,10.9,6.3,0.567,8.8,5.0,35.1,3.6,3.3,17.6,12.7,1.0,3.0
31,0.366,5.2,1.9,3.1,0.4,5.4,0.427,13.9,5.9,0.845,4.2,3.6,32.4,0.9,2.6,17.4,6.2,1.7,2.5
32,0.258,0.5,0.1,1.8,0.3,6.3,0.472,14.2,6.7,0.765,4.3,3.3,31.5,3.0,2.4,16.9,9.3,0.8,2.1
33,0.387,5.2,2.0,3.3,0.3,2.1,0.435,13.1,5.7,0.816,4.1,3.3,33.6,0.5,2.0,16.7,2.5,1.0,2.2
34,0.396,4.8,1.9,3.0,0.3,2.8,0.43,14.4,6.2,0.786,3.0,2.4,33.0,0.8,2.1,16.7,3.6,1.0,1.8
35,0.356,4.0,1.4,8.2,0.2,2.7,0.444,13.2,5.9,0.823,4.3,3.5,34.7,0.4,2.5,16.7,3.1,1.1,2.9
36,0.372,4.3,1.6,4.1,0.2,3.1,0.442,14.4,6.4,0.801,2.9,2.3,35.6,0.9,1.8,16.6,4.0,0.9,2.0
37,0.289,2.2,0.6,5.3,0.4,3.9,0.445,14.0,6.2,0.759,4.4,3.4,32.9,0.9,2.4,16.4,4.8,1.3,2.7
38,0.328,1.3,0.4,5.9,0.1,2.5,0.494,13.3,6.5,0.754,3.8,2.9,31.9,0.4,1.7,16.4,2.9,0.9,2.4
39,0.127,0.1,0.0,1.5,1.3,6.4,0.498,14.0,7.0,0.708,3.3,2.3,29.9,2.3,2.6,16.3,8.7,0.7,1.4
40,0.367,4.0,1.5,1.3,1.9,5.6,0.433,13.5,5.8,0.819,3.6,3.0,30.3,1.8,3.1,16.1,7.4,0.7,1.7
41,0.34,4.2,1.4,2.8,0.3,2.2,0.417,13.3,5.6,0.83,3.6,3.0,29.7,0.4,3.0,15.6,2.6,0.7,2.3
42,0.369,1.3,0.5,2.0,0.3,3.7,0.494,12.8,6.3,0.746,3.3,2.4,31.9,1.7,2.0,15.5,5.4,1.0,1.6
43,0.348,5.0,1.7,3.5,0.2,2.0,0.41,13.0,5.3,0.862,3.5,3.0,30.7,0.4,1.6,15.4,2.4,0.9,1.9
44,0.394,3.1,1.2,2.1,0.7,4.9,0.495,11.4,5.6,0.846,3.3,2.8,30.2,1.3,1.8,15.2,6.2,1.8,1.3
45,0.335,2.2,0.7,2.3,0.5,4.5,0.456,12.8,5.8,0.769,3.6,2.8,34.9,1.7,1.7,15.2,6.2,1.0,1.7
46,0.363,3.5,1.3,3.4,0.4,3.4,0.44,11.5,5.1,0.822,4.6,3.7,31.1,0.7,1.8,15.1,4.1,1.0,2.1
47,0.367,4.9,1.8,1.9,0.5,3.9,0.416,10.9,4.5,0.858,4.9,4.2,31.0,0.8,1.9,15.1,4.6,0.8,1.3
48,0.348,5.0,1.7,5.8,0.2,2.5,0.39,13.6,5.3,0.797,3.3,2.7,31.6,0.6,1.8,15.0,3.1,1.3,2.3
49,0.329,2.5,0.8,2.8,0.4,3.3,0.446,10.7,4.8,0.825,5.3,4.4,31.8,1.4,1.4,14.8,4.7,1.4,1.3
50,0.41,4.2,1.7,2.7,0.3,2.0,0.453,12.3,5.6,0.821,2.2,1.8,25.5,0.5,2.0,14.7,2.5,0.9,1.7
51,0.323,0.3,0.1,3.1,1.5,5.8,0.499,11.1,5.5,0.769,4.6,3.5,33.7,1.9,3.0,14.7,7.7,0.9,2.0
52,0.34,0.7,0.2,2.8,1.2,6.5,0.531,11.5,6.1,0.747,2.5,1.9,33.4,2.3,2.4,14.4,8.8,0.8,1.6
53,0.262,0.2,0.1,2.2,0.8,4.9,0.492,11.8,5.8,0.818,3.3,2.7,29.8,1.8,2.4,14.4,6.7,0.8,1.7
54,0.0,0.0,0.0,2.3,0.6,5.9,0.509,11.1,5.7,0.702,4.1,2.9,30.2,3.0,2.3,14.2,9.0,1.2,2.0
55,0.367,2.9,1.1,6.1,0.4,2.7,0.438,12.7,5.6,0.794,2.4,1.9,32.1,0.8,2.3,14.1,3.5,1.4,2.6
56,0.386,5.5,2.1,2.1,0.2,2.5,0.431,11.2,4.8,0.827,2.8,2.3,32.7,0.6,2.2,14.1,3.1,1.1,1.3
57,0.379,4.4,1.7,4.0,0.2,2.0,0.444,11.6,5.2,0.845,2.5,2.1,30.7,0.4,1.9,14.1,2.4,1.2,1.8
58,0.331,1.1,0.4,2.2,1.0,5.2,0.495,10.8,5.3,0.733,4.1,3.0,29.3,2.3,3.2,14.0,7.5,1.3,1.8
59,0.365,4.2,1.5,5.8,0.3,3.2,0.423,10.6,4.5,0.799,4.3,3.4,30.7,0.8,2.7,14.0,4.1,1.4,2.2
60,0.34,3.4,1.1,2.7,0.1,2.5,0.439,12.2,5.4,0.808,2.5,2.0,28.7,1.0,1.9,13.9,3.5,1.1,1.7
61,0.34,3.9,1.3,1.8,0.7,4.3,0.443,12.2,5.4,0.771,2.3,1.8,31.1,1.2,2.8,13.9,5.4,0.8,1.5
62,0.034,0.0,0.0,2.2,0.4,6.4,0.534,10.6,5.6,0.774,3.3,2.6,29.8,2.6,2.7,13.9,9.0,0.8,1.8
63,0.37,3.9,1.5,3.9,0.3,3.0,0.448,10.0,4.5,0.827,4.1,3.4,26.1,0.7,2.1,13.8,3.6,1.4,2.1
64,0.331,1.3,0.4,1.5,0.4,3.9,0.499,11.9,5.9,0.683,2.3,1.6,30.7,2.0,2.2,13.8,5.9,1.4,1.5
65,0.352,5.1,1.8,3.7,0.2,3.0,0.408,12.4,5.0,0.747,2.6,1.9,28.0,0.6,1.9,13.8,3.5,1.2,2.5
66,0.376,3.2,1.2,5.6,0.2,2.5,0.44,11.4,5.0,0.81,3.1,2.5,32.5,0.4,2.0,13.8,2.9,1.5,2.0
67,0.337,3.0,1.0,1.6,0.6,3.8,0.437,11.5,5.0,0.789,3.3,2.6,31.6,1.0,2.3,13.7,4.8,0.8,1.6
68,0.386,3.8,1.5,3.3,0.2,2.5,0.447,11.4,5.1,0.825,2.5,2.1,28.5,0.4,2.2,13.7,2.9,0.8,2.2
69,0.284,1.3,0.4,3.3,1.2,5.3,0.493,10.1,5.0,0.734,4.5,3.3,31.1,1.3,2.9,13.7,6.6,1.1,2.2
70,0.286,0.0,0.0,0.7,1.6,8.0,0.551,10.5,5.8,0.387,4.7,1.8,29.8,4.7,3.1,13.4,12.7,1.2,1.5
71,0.34,3.4,1.2,2.7,0.5,3.3,0.415,11.4,4.7,0.716,3.7,2.6,32.0,1.2,2.6,13.3,4.5,1.7,1.8
72,0.38,5.5,2.1,0.9,0.4,3.5,0.424,10.8,4.6,0.863,2.3,2.0,26.4,2.1,2.0,13.2,5.5,0.6,1.0
73,0.378,3.5,1.3,4.9,0.1,2.3,0.434,11.4,5.0,0.871,2.2,1.9,29.2,0.5,2.5,13.2,2.8,0.9,2.3
74,0.333,2.8,0.9,4.5,0.5,4.3,0.462,10.2,4.7,0.714,3.9,2.8,35.0,1.0,1.9,13.1,5.3,1.6,2.1
75,0.377,2.4,0.9,2.1,0.3,3.3,0.464,9.7,4.5,0.769,4.1,3.1,29.7,0.8,2.3,13.1,4.1,0.7,1.6
76,0.375,5.4,2.0,2.2,0.2,2.7,0.421,11.2,4.7,0.734,2.2,1.6,26.9,0.5,2.3,13.1,3.2,1.0,1.4
77,0.299,1.4,0.4,3.6,0.1,2.3,0.425,10.7,4.6,0.825,4.0,3.3,27.9,0.7,2.1,12.8,3.0,0.9,1.8
78,0.359,2.9,1.0,4.8,0.2,2.1,0.469,10.1,4.7,0.753,3.0,2.3,27.2,0.7,2.3,12.8,2.9,1.0,2.2
79,0.362,2.5,0.9,6.0,0.1,2.1,0.459,10.0,4.6,0.768,3.5,2.7,29.5,0.6,1.6,12.7,2.8,1.2,2.1
80,0.346,1.5,0.5,1.3,0.5,3.6,0.455,11.4,5.2,0.759,2.5,1.9,23.8,1.1,2.2,12.7,4.8,0.6,1.7
81,0.374,2.1,0.8,4.8,0.1,2.2,0.467,10.0,4.7,0.851,2.9,2.5,29.4,0.5,1.7,12.6,2.6,1.1,2.1
82,0.313,3.5,1.1,4.9,0.4,3.0,0.366,12.7,4.6,0.71,3.1,2.2,29.9,0.5,2.0,12.6,3.5,0.9,3.0
83,0.344,3.4,1.2,2.9,0.2,1.7,0.417,9.7,4.0,0.822,4.1,3.3,23.5,0.4,1.4,12.6,2.1,0.9,1.4
84,0.0,0.0,0.0,0.7,0.6,3.7,0.518,9.4,4.8,0.76,3.8,2.9,24.9,3.0,2.3,12.6,6.7,0.5,1.5
85,0.355,5.0,1.8,2.2,0.2,2.8,0.416,10.9,4.5,0.816,2.2,1.8,28.2,0.3,2.5,12.6,3.1,0.8,1.3
86,0.352,2.3,0.8,5.3,0.3,2.0,0.447,10.0,4.4,0.839,3.2,2.7,26.5,0.3,1.9,12.4,2.3,1.2,2.2
87,0.328,3.0,1.0,5.8,0.2,2.5,0.412,11.1,4.6,0.789,2.6,2.0,32.2,0.6,2.1,12.1,3.1,1.3,2.3
88,0.368,3.4,1.2,1.7,0.2,2.4,0.443,11.0,4.9,0.778,1.4,1.1,28.0,0.6,2.1,12.1,3.0,1.1,1.4
89,0.341,0.4,0.1,1.6,0.3,4.9,0.493,10.1,5.0,0.74,2.7,2.0,25.7,1.8,2.8,12.0,6.7,0.6,1.5
90,0.136,0.1,0.0,1.9,0.8,4.6,0.545,8.4,4.6,0.663,4.3,2.9,27.8,1.8,3.1,12.0,6.4,1.1,1.9
91,0.254,0.5,0.1,2.4,0.4,7.6,0.448,10.4,4.6,0.71,3.6,2.6,28.5,2.1,3.1,12.0,9.7,0.7,2.1
92,0.118,0.0,0.0,1.1,0.9,5.4,0.543,8.9,4.8,0.651,3.6,2.3,26.1,3.2,2.6,12.0,8.6,0.8,1.4
93,0.376,3.7,1.4,1.0,0.2,1.7,0.42,10.1,4.2,0.834,2.5,2.1,23.5,0.4,1.9,11.9,2.0,0.6,1.1
94,0.358,4.2,1.5,1.4,0.1,1.9,0.425,10.4,4.4,0.83,1.9,1.6,23.4,0.8,1.5,11.9,2.8,0.8,1.0
95,0.358,4.5,1.6,3.5,0.7,4.2,0.439,9.6,4.2,0.836,2.2,1.8,31.5,1.1,1.9,11.9,5.3,0.9,1.8
96,0.36,1.2,0.4,0.6,2.4,5.0,0.52,9.6,5.0,0.748,1.9,1.4,28.9,2.4,2.8,11.8,7.4,0.4,1.3
97,0.368,3.6,1.3,5.2,0.1,2.5,0.437,10.3,4.5,0.811,1.8,1.5,28.3,0.5,2.6,11.8,3.0,0.9,2.2
98,0.414,4.3,1.8,1.9,0.1,1.7,0.449,8.8,3.9,0.887,2.3,2.0,24.6,0.2,1.5,11.7,1.9,0.4,1.0
99,0.323,1.9,0.6,1.7,0.6,4.1,0.445,10.2,4.5,0.763,2.6,2.0,25.9,1.4,2.9,11.6,5.5,1.0,1.7
100,0.34,4.4,1.5,1.5,0.2,2.3,0.411,10.4,4.3,0.777,1.9,1.5,30.0,0.7,1.9,11.5,3.0,1.2,1.0
101,0.324,2.5,0.8,4.3,0.2,2.0,0.437,8.8,3.8,0.795,3.9,3.1,25.9,0.3,2.2,11.5,2.3,1.1,1.9
102,0.143,0.0,0.0,1.1,1.3,4.8,0.509,9.0,4.6,0.667,3.4,2.3,25.8,2.5,2.8,11.5,7.2,0.8,1.5
103,0.38,3.2,1.2,3.3,0.3,2.6,0.453,9.0,4.1,0.801,2.7,2.1,28.8,0.6,2.1,11.5,3.2,0.9,1.3
104,0.0,0.0,0.0,0.6,1.1,5.7,0.553,8.0,4.4,0.783,3.2,2.5,26.3,2.7,2.9,11.4,8.4,0.4,1.5
105,0.384,3.0,1.2,1.9,0.2,2.5,0.451,9.2,4.2,0.823,2.4,1.9,28.4,0.5,2.0,11.4,3.0,0.5,1.2
106,0.327,1.3,0.4,1.9,0.4,2.7,0.443,9.7,4.3,0.793,2.9,2.3,26.2,0.6,1.7,11.4,3.3,0.7,1.2
107,0.376,3.5,1.3,2.3,0.3,3.6,0.441,9.2,4.1,0.803,2.4,1.9,28.1,0.7,2.0,11.4,4.3,0.7,1.4
108,0.276,1.9,0.5,1.8,0.6,5.1,0.439,10.2,4.5,0.727,2.2,1.6,24.9,2.6,3.0,11.1,7.7,0.7,1.3
109,0.326,0.2,0.1,0.6,0.5,4.1,0.53,8.5,4.5,0.764,2.6,2.0,21.3,2.6,2.1,11.0,6.7,0.4,1.5
110,0.37,2.9,1.1,1.1,0.4,4.1,0.445,9.3,4.1,0.77,2.1,1.6,24.3,1.9,2.5,10.9,6.0,0.7,1.0
111,0.369,4.0,1.5,1.2,0.1,2.5,0.442,8.9,3.9,0.838,1.8,1.5,25.6,0.5,1.5,10.9,3.0,0.4,1.3
112,0.333,1.1,0.4,2.8,0.6,4.9,0.536,7.9,4.2,0.807,2.5,2.0,22.5,2.3,2.8,10.9,7.2,0.9,1.4
113,0.291,1.1,0.3,8.6,0.1,3.8,0.464,9.7,4.5,0.605,2.4,1.5,32.7,1.1,2.3,10.8,4.9,1.8,2.9
114,0.389,3.1,1.2,2.1,0.1,1.7,0.461,8.8,4.1,0.82,1.8,1.5,21.8,0.4,2.0,10.8,2.0,0.8,1.3
